instrument_name,funding_rate,funding_time
BIO-USDT-SWAP,0.0000235343485042,1764921600000
BIO-USDT-SWAP,0.00005,1764936000000
BLUAI-USDT-SWAP,0.0001393262896245,1764864000000
BLUAI-USDT-SWAP,0.00005,1764878400000
BLUAI-USDT-SWAP,0.00005,1764892800000
BLUAI-USDT-SWAP,0.00005,1764907200000
BLUAI-USDT-SWAP,0.00005,1764921600000
BLUAI-USDT-SWAP,0.0004761741177076,1764936000000
BLUR-USDT-SWAP,0.0000743160816003,1764864000000
BLUR-USDT-SWAP,0.0000228490448128,1764892800000
BLUR-USDT-SWAP,0.0000047858844695,1764921600000
BNB-USDT-SWAP,0.0000827901277926,1764864000000
BNB-USDT-SWAP,0.0000607727954287,1764892800000
BNB-USDT-SWAP,0.000034935175539,1764921600000
BOME-USDT-SWAP,0.00005,1764864000000
BOME-USDT-SWAP,-0.0000142861227548,1764878400000
BOME-USDT-SWAP,0.00005,1764892800000
BOME-USDT-SWAP,0.0000250566051591,1764907200000
BOME-USDT-SWAP,0.00005,1764921600000
BOME-USDT-SWAP,0.00005,1764936000000
BONK-USDT-SWAP,0.0001,1764864000000
BONK-USDT-SWAP,0.0000836110358501,1764892800000
BONK-USDT-SWAP,0.0000595034482471,1764921600000
BRETT-USDT-SWAP,0.00005,1764864000000
BRETT-USDT-SWAP,0.00005,1764878400000
BRETT-USDT-SWAP,0.00005,1764892800000
BRETT-USDT-SWAP,0.0000136865471069,1764907200000
BRETT-USDT-SWAP,0.00005,1764921600000
BRETT-USDT-SWAP,0.00005,1764936000000
BTC-USD-SWAP,0.0000121977873952,1764864000000
BTC-USD-SWAP,-0.0000156928515963,1764892800000
BTC-USD-SWAP,-0.0000011708107828,1764921600000
BTC-USDC-SWAP,-0.0000331674907448,1764864000000
BTC-USDC-SWAP,0.0000408917326814,1764892800000
BTC-USDC-SWAP,0.0000606182339898,1764921600000
BTC-USDT-SWAP,0.0000246563561454,1764864000000
BTC-USDT-SWAP,-0.0000104776839236,1764892800000
BTC-USDT-SWAP,0.0000272714649899,1764921600000
BTC-USD_UM-SWAP,0.0001,1764864000000
BTC-USD_UM-SWAP,0.0001,1764892800000
BTC-USD_UM-SWAP,0.0001,1764921600000
CAT-USDT-SWAP,0.00005,1764864000000
CAT-USDT-SWAP,0.00005,1764878400000
CAT-USDT-SWAP,0.00005,1764892800000
CAT-USDT-SWAP,0.00005,1764907200000
CAT-USDT-SWAP,0.00005,1764921600000
CAT-USDT-SWAP,0.00005,1764936000000
CATI-USDT-SWAP,-0.0000839840902303,1764864000000
CATI-USDT-SWAP,0.00005,1764878400000
CATI-USDT-SWAP,0.00005,1764892800000
CATI-USDT-SWAP,0.00005,1764907200000
CATI-USDT-SWAP,0.00005,1764921600000
CATI-USDT-SWAP,-0.0000660833971424,1764936000000
CC-USDT-SWAP,0.00005,1764864000000
CC-USDT-SWAP,0.00005,1764878400000
CC-USDT-SWAP,0.00005,1764892800000
CC-USDT-SWAP,0.00005,1764907200000
CC-USDT-SWAP,-0.000080513937324,1764921600000
CC-USDT-SWAP,0.00005,1764936000000
CELO-USDT-SWAP,0.0000163357552885,1764864000000
CELO-USDT-SWAP,0.0001,1764892800000
CELO-USDT-SWAP,-0.0004150798290579,1764921600000
CETUS-USDT-SWAP,0.00005,1764864000000
CETUS-USDT-SWAP,0.00005,1764878400000
CETUS-USDT-SWAP,0.00005,1764892800000
CETUS-USDT-SWAP,0.00005,1764907200000
CETUS-USDT-SWAP,0.00005,1764921600000
CETUS-USDT-SWAP,0.00005,1764936000000
CFX-USDT-SWAP,0.0000857408279739,1764864000000
CFX-USDT-SWAP,0.000054519946013,1764892800000
CFX-USDT-SWAP,0.0000284498138016,1764921600000
CHZ-USDT-SWAP,-0.0001494293333588,1764864000000
CHZ-USDT-SWAP,-0.0000664412798512,1764892800000
CHZ-USDT-SWAP,-0.0001434161901029,1764921600000
COAI-USDT-SWAP,0.0001164711867623,1764864000000
COAI-USDT-SWAP,0.00005,1764878400000
COAI-USDT-SWAP,0.00005,1764892800000
COAI-USDT-SWAP,0.00005,1764907200000
COAI-USDT-SWAP,0.0000712900598142,1764921600000
COAI-USDT-SWAP,0.00005,1764936000000
COMP-USDT-SWAP,-0.0004979449989226,1764864000000
COMP-USDT-SWAP,-0.0001260555242439,1764892800000
COMP-USDT-SWAP,-0.0000554071462444,1764921600000
COOKIE-USDT-SWAP,0.00005,1764864000000
COOKIE-USDT-SWAP,0.00005,1764878400000
COOKIE-USDT-SWAP,0.00005,1764892800000
COOKIE-USDT-SWAP,0.00005,1764907200000
COOKIE-USDT-SWAP,0.00005,1764921600000
COOKIE-USDT-SWAP,0.00005,1764936000000
CORE-USDT-SWAP,-0.0000650910258219,1764864000000
CORE-USDT-SWAP,0.0000628675693194,1764892800000
CORE-USDT-SWAP,-0.0001983263951177,1764921600000
CRO-USDT-SWAP,-0.0000625679081161,1764864000000
CRO-USDT-SWAP,-0.0001131908636865,1764892800000
CRO-USDT-SWAP,-0.0002348635402193,1764921600000
CRV-USDT-SWAP,0.0001,1764864000000
CRV-USDT-SWAP,0.0001,1764892800000
CRV-USDT-SWAP,0.0000584436158569,1764921600000
CVX-USDT-SWAP,3.56034171E-7,1764864000000
CVX-USDT-SWAP,0.0001,1764892800000
CVX-USDT-SWAP,0.000004432295548,1764921600000
DASH-USDT-SWAP,-0.0004552470133636,1764864000000
DASH-USDT-SWAP,0.00005,1764878400000
DASH-USDT-SWAP,0.00005,1764892800000
DASH-USDT-SWAP,0.0000232021715418,1764907200000
DASH-USDT-SWAP,-0.0003961665040819,1764921600000
DASH-USDT-SWAP,-0.0013779378586981,1764936000000
DEGEN-USDT-SWAP,0.0000288259005788,1764864000000
DEGEN-USDT-SWAP,0.0000209482062923,1764878400000
DEGEN-USDT-SWAP,-0.0000712733802453,1764892800000
DEGEN-USDT-SWAP,0.00005,1764907200000
DEGEN-USDT-SWAP,0.00005,1764921600000
DEGEN-USDT-SWAP,0.00005,1764936000000
DOGE-USD-SWAP,0.0000063143223585,1764864000000
DOGE-USD-SWAP,-0.0000700501218267,1764892800000
DOGE-USD-SWAP,-0.0000135821708191,1764921600000
DOGE-USDT-SWAP,0.0001,1764864000000
DOGE-USDT-SWAP,0.0000702752309236,1764892800000
DOGE-USDT-SWAP,0.0000422749667827,1764921600000
DOOD-USDT-SWAP,0.00005,1764864000000
DOOD-USDT-SWAP,0.00005,1764878400000
DOOD-USDT-SWAP,0.00005,1764892800000
DOOD-USDT-SWAP,0.00005,1764907200000
DOOD-USDT-SWAP,0.00005,1764921600000
DOOD-USDT-SWAP,0.00005,1764936000000
DOT-USD-SWAP,-0.0000631106975872,1764864000000
DOT-USD-SWAP,-0.0000750792391532,1764892800000
DOT-USD-SWAP,-0.0000946195874947,1764921600000
DOT-USDT-SWAP,-0.0001004403208073,1764864000000
DOT-USDT-SWAP,-0.0000831244990065,1764892800000
DOT-USDT-SWAP,-0.0001516297081551,1764921600000
DYDX-USDT-SWAP,0.0001,1764864000000
DYDX-USDT-SWAP,0.0000682675570904,1764892800000
DYDX-USDT-SWAP,0.0000733072319985,1764921600000
EDEN-USDT-SWAP,0.00005,1764864000000
EDEN-USDT-SWAP,0.00005,1764878400000
EDEN-USDT-SWAP,0.00005,1764892800000
EDEN-USDT-SWAP,0.00005,1764907200000
EDEN-USDT-SWAP,0.00005,1764921600000
EDEN-USDT-SWAP,0.00005,1764936000000
EGLD-USDT-SWAP,0.0000212320221871,1764864000000
EGLD-USDT-SWAP,0.0000237798096421,1764892800000
EGLD-USDT-SWAP,-0.001779496247205,1764921600000
EIGEN-USDT-SWAP,0.00005,1764864000000
EIGEN-USDT-SWAP,0.00005,1764878400000
EIGEN-USDT-SWAP,0.00005,1764892800000
EIGEN-USDT-SWAP,-0.0000228992672201,1764907200000
EIGEN-USDT-SWAP,0.00005,1764921600000
EIGEN-USDT-SWAP,0.00005,1764936000000
ENA-USDT-SWAP,0.00005,1764864000000
ENA-USDT-SWAP,0.00005,1764878400000
ENA-USDT-SWAP,0.0000300215511912,1764892800000
ENA-USDT-SWAP,-0.0000265204344071,1764907200000
ENA-USDT-SWAP,-0.0000554552606908,1764921600000
ENA-USDT-SWAP,0.00005,1764936000000
ENJ-USDT-SWAP,0.0001,1764864000000
ENJ-USDT-SWAP,0.0001,1764892800000
ENJ-USDT-SWAP,0.0001,1764921600000
ENS-USDT-SWAP,0.000051443805576,1764864000000
ENS-USDT-SWAP,0.0001,1764892800000
ENS-USDT-SWAP,0.0000522987216802,1764921600000
ENSO-USDT-SWAP,0.00005,1764864000000
ENSO-USDT-SWAP,0.00005,1764878400000
ENSO-USDT-SWAP,0.00005,1764892800000
ENSO-USDT-SWAP,0.00005,1764907200000
ENSO-USDT-SWAP,0.00005,1764921600000
ENSO-USDT-SWAP,0.00005,1764936000000
ETC-USD-SWAP,0.0001,1764864000000
ETC-USD-SWAP,0.0001,1764892800000
ETC-USD-SWAP,0.0000583706496452,1764921600000
ETC-USDT-SWAP,0.0001,1764864000000
ETC-USDT-SWAP,0.0001,1764892800000
ETC-USDT-SWAP,0.0001,1764921600000
ETH-USD-SWAP,0.0000468984716803,1764864000000
ETH-USD-SWAP,-0.0000250073518312,1764892800000
ETH-USD-SWAP,-0.0000208088196484,1764921600000
ETH-USDC-SWAP,-0.0000241725153147,1764864000000
ETH-USDC-SWAP,-0.0000610254205748,1764892800000
ETH-USDC-SWAP,-0.0000147873465125,1764921600000
ETH-USDT-SWAP,0.0000223553654004,1764864000000
ETH-USDT-SWAP,0.0000048398689456,1764892800000
ETH-USDT-SWAP,-0.0000469663605953,1764921600000
ETH-USD_UM-SWAP,0.0001,1764864000000
ETH-USD_UM-SWAP,0.0001,1764892800000
ETH-USD_UM-SWAP,0.0001,1764921600000
ETHFI-USDT-SWAP,0.0000176280635359,1764864000000
ETHFI-USDT-SWAP,0.0000165192667429,1764878400000
ETHFI-USDT-SWAP,0.0000446378383039,1764892800000
ETHFI-USDT-SWAP,0.0000267705222161,1764907200000
ETHFI-USDT-SWAP,0.0000052465758614,1764921600000
ETHFI-USDT-SWAP,0.00005,1764936000000
ETHW-USDT-SWAP,0.00005,1764864000000
ETHW-USDT-SWAP,0.00005,1764878400000
ETHW-USDT-SWAP,0.00005,1764892800000
ETHW-USDT-SWAP,-0.0000583243127868,1764907200000
ETHW-USDT-SWAP,0.00005,1764921600000
ETHW-USDT-SWAP,0.00005,1764936000000
F-USDT-SWAP,0.00005,1764864000000
F-USDT-SWAP,0.00005,1764878400000
F-USDT-SWAP,0.00005,1764892800000
F-USDT-SWAP,0.00005,1764907200000
F-USDT-SWAP,0.00005,1764921600000
F-USDT-SWAP,-0.0003766978216701,1764936000000
FARTCOIN-USDT-SWAP,0.00005,1764864000000
FARTCOIN-USDT-SWAP,0.00005,1764878400000
FARTCOIN-USDT-SWAP,0.00005,1764892800000
FARTCOIN-USDT-SWAP,0.00005,1764907200000
FARTCOIN-USDT-SWAP,0.00005,1764921600000
FARTCOIN-USDT-SWAP,0.00005,1764936000000
FIL-USD-SWAP,0.0000538941561046,1764864000000
FIL-USD-SWAP,0.0001,1764892800000
FIL-USD-SWAP,0.0001,1764921600000
FIL-USDT-SWAP,-0.0001678469590752,1764864000000
FIL-USDT-SWAP,-0.0000706992632859,1764892800000
FIL-USDT-SWAP,-0.0000208544643402,1764921600000
FLOKI-USDT-SWAP,0.0001,1764864000000
FLOKI-USDT-SWAP,0.0001,1764892800000
FLOKI-USDT-SWAP,0.0001,1764921600000
FLOW-USDT-SWAP,0.0001,1764864000000
FLOW-USDT-SWAP,-0.000153180145794,1764892800000
FLOW-USDT-SWAP,-0.0000265812213666,1764921600000
FXS-USDT-SWAP,0.0001,1764864000000
FXS-USDT-SWAP,0.0001,1764892800000
FXS-USDT-SWAP,0.0001,1764921600000
GALA-USDT-SWAP,0.0001,1764864000000
GALA-USDT-SWAP,0.0001,1764892800000
GALA-USDT-SWAP,0.0001,1764921600000
GAS-USDT-SWAP,0.00005,1764864000000
GAS-USDT-SWAP,0.00005,1764878400000
GAS-USDT-SWAP,0.00005,1764892800000
GAS-USDT-SWAP,0.00005,1764907200000
GAS-USDT-SWAP,0.00005,1764921600000
GAS-USDT-SWAP,0.00005,1764936000000
GIGGLE-USDT-SWAP,0.00005,1764864000000
GIGGLE-USDT-SWAP,0.00005,1764878400000
GIGGLE-USDT-SWAP,0.00005,1764892800000
GIGGLE-USDT-SWAP,0.0000405209453666,1764907200000
GIGGLE-USDT-SWAP,0.00005,1764921600000
GIGGLE-USDT-SWAP,0.00005,1764936000000
GLM-USDT-SWAP,-0.000048213685399,1764864000000
GLM-USDT-SWAP,-0.0003107584953326,1764878400000
